"co_evento","nu_ano_competencia","qt_registros","qt_cnspcn","qt_cnspcn_menor18","qt_cnspcn_sexo_f","qt_apac","qt_cnes","qt_municipio_residencia","qt_aprovada","vl_aprovado","vl_aprovado_unitario_mediana","no_coorte","no_origem","sg_procedimento","no_procedimento"
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
